LP;Zawodnik;AVG - zawodnik;Przeciwnik;AVG - przeciwnik;Wynik;Faza;Turniej;Data
1;Gino Vos;;Wayne Jones;;"6;3";L64;Austrian Darts Open;27.04.2012
2;Mark Walsh;;Brian Woods;;"6;1";L64;Austrian Darts Open;27.04.2012
3;Mark Webster;;Jelle Klaasen;;"6;3";L64;Austrian Darts Open;27.04.2012
4;Colin Lloyd;;Ian White;;"6;3";L64;Austrian Darts Open;27.04.2012
5;Dean Winstanley;;Paul Nicholson;;"6;3";L64;Austrian Darts Open;27.04.2012
6;Wes Newton;;Boris Krcmar;;"6;4";L64;Austrian Darts Open;27.04.2012
7;Terry Jenkins;;Dietmar Burger;;"6;4";L64;Austrian Darts Open;27.04.2012
8;Vincent van der Voort;;Darren Webster;;"6;3";L64;Austrian Darts Open;27.04.2012
9;Alan Tabern;;Zoran Lerchbacher;;"6;2";L64;Austrian Darts Open;27.04.2012
10;Richie Burnett;;Michael Rosenauer;;"6;4";L64;Austrian Darts Open;27.04.2012
11;Peter Wright;;William O'Connor;;"6;1";L64;Austrian Darts Open;27.04.2012
12;Steve Beaton;;Mick Todd;;"6;3";L64;Austrian Darts Open;27.04.2012
13;Co Stompe;;Ross Smith;;"6;3";L64;Austrian Darts Open;27.04.2012
14;Joe Cullen;;Brendan Dolan;;"6;4";L64;Austrian Darts Open;27.04.2012
15;Steve Evans;;Steve Brown;;"6;2";L64;Austrian Darts Open;27.04.2012
16;Dave Chisnall;;Martin Kurecka;;"6;1";L64;Austrian Darts Open;27.04.2012
17;Gary Anderson;;Scott Rand;;"6;4";L64;Austrian Darts Open;27.04.2012
18;Simon Whitlock;;Mareno Michels;;"6;4";L64;Austrian Darts Open;27.04.2012
19;James Wade;;Prakash Jiwa;;"6;3";L64;Austrian Darts Open;27.04.2012
20;Andy Hamilton;;Roland Scholten;;"6;3";L64;Austrian Darts Open;27.04.2012
21;Raymond van Barneveld;;Arron Monk;;"6;4";L64;Austrian Darts Open;27.04.2012
22;Kevin Painter;;Johnny Haines;;"6;2";L64;Austrian Darts Open;27.04.2012
23;Michael van Gerwen;;Mervyn King;;"6;4";L64;Austrian Darts Open;27.04.2012
24;Justin Pipe;;Mensur Suljovic;;"6;2";L64;Austrian Darts Open;27.04.2012
25;Colin Osborne;;Richie Howson;;"6;4";L64;Austrian Darts Open;27.04.2012
26;Mark Dudbridge;;John Part;;"6;5";L64;Austrian Darts Open;27.04.2012
27;Denis Ovens;;John Scott;;"6;5";L64;Austrian Darts Open;27.04.2012
28;Michael Smith;;Jamie Caven;;"6;4";L64;Austrian Darts Open;27.04.2012
29;Kim Huybrechts;;Andy Smith;;"6;3";L64;Austrian Darts Open;27.04.2012
30;Jim Walker;;Ronnie Baxter;;"6;5";L64;Austrian Darts Open;27.04.2012
31;Mark Webster;100.2;Alan Tabern;89.25;"6;0";L32;Austrian Darts Open;28.04.2012
32;Mark Walsh;86.81;Michael Smith;90.0;"6;5";L32;Austrian Darts Open;28.04.2012
33;Justin Pipe;91.17;Gino Vos;83.36;"6;4";L32;Austrian Darts Open;28.04.2012
34;James Richardson;87.18;Peter Wright;83.42;"6;3";L32;Austrian Darts Open;28.04.2012
35;Wes Newton;97.0;Steve Evans;85.91;"6;2";L32;Austrian Darts Open;28.04.2012
36;Denis Ovens;84.94;Terry Jenkins;83.01;"6;3";L32;Austrian Darts Open;28.04.2012
37;Richie Burnett;87.76;Gareth Cousins;78.06;"6;3";L32;Austrian Darts Open;28.04.2012
38;Kim Huybrechts;90.18;Vincent van der Voort;79.48;"6;0";L32;Austrian Darts Open;28.04.2012
39;Dave Chisnall;96.28;Andy Hamilton;94.86;"6;4";L32;Austrian Darts Open;28.04.2012
40;Kevin Painter;80.92;Mark Dudbridge;78.27;"6;2";L32;Austrian Darts Open;28.04.2012
41;Gary Anderson;96.42;Co Stompe;89.75;"6;2";L32;Austrian Darts Open;28.04.2012
42;James Wade;91.24;Steve Beaton;91.11;"6;4";L32;Austrian Darts Open;28.04.2012
43;Michael van Gerwen;104.7;Colin Lloyd;91.79;"6;1";L32;Austrian Darts Open;28.04.2012
44;Dean Winstanley;96.92;Jim Walker;97.59;"6;5";L32;Austrian Darts Open;28.04.2012
45;Raymond van Barneveld;93.56;Colin Osborne;90.35;"6;4";L32;Austrian Darts Open;28.04.2012
46;Joe Cullen;93.63;Simon Whitlock;93.69;"6;4";L32;Austrian Darts Open;28.04.2012
47;Richie Burnett;97.34;Dean Winstanley;88.61;"6;3";L16;Austrian Darts Open;29.04.2012
48;Raymond van Barneveld;102.57;Mark Webster;86.97;"6;2";L16;Austrian Darts Open;29.04.2012
49;Joe Cullen;97.99;Mark Walsh;86.09;"6;4";L16;Austrian Darts Open;29.04.2012
50;Justin Pipe;100.17;Gary Anderson;91.42;"6;2";L16;Austrian Darts Open;29.04.2012
51;James Richardson;90.6;Michael van Gerwen;89.29;"6;5";L16;Austrian Darts Open;29.04.2012
52;Dave Chisnall;113.09;Kevin Painter;92.52;"6;3";L16;Austrian Darts Open;29.04.2012
53;Wes Newton;89.31;Denis Ovens;86.34;"6;3";L16;Austrian Darts Open;29.04.2012
54;James Wade;85.99;Kim Huybrechts;74.97;"6;1";L16;Austrian Darts Open;29.04.2012
55;Raymond van Barneveld;94.26;Richie Burnett;87.18;"6;3";QF;Austrian Darts Open;29.04.2012
56;Justin Pipe;97.25;Joe Cullen;93.71;"6;4";QF;Austrian Darts Open;29.04.2012
57;Dave Chisnall;91.12;James Richardson;84.09;"6;3";QF;Austrian Darts Open;29.04.2012
58;James Wade;97.06;Wes Newton;91.56;"6;5";QF;Austrian Darts Open;29.04.2012
59;Justin Pipe;107.42;Raymond van Barneveld;93.27;"6;3";SF;Austrian Darts Open;29.04.2012
60;James Wade;88.37;Dave Chisnall;87.22;"6;2";SF;Austrian Darts Open;29.04.2012
61;Justin Pipe;99.64;James Wade;105.56;"6;3";Final;Austrian Darts Open;29.04.2012
62;Co Stompe;;Sam Hill;;"6;2";L64;German Darts Championship;22.06.2012
63;Reece Robinson;;Richie Burnett;;"6;2";L64;German Darts Championship;22.06.2012
64;Alan Tabern;;Leon De Geus;;"6;5";L64;German Darts Championship;22.06.2012
65;Colin Osborne;;Darren Johnson;;"6;2";L64;German Darts Championship;22.06.2012
66;Steve Brown;;Steve Evans;;"6;3";L64;German Darts Championship;22.06.2012
67;Andy Smith;;Mick Todd;;"6;5";L64;German Darts Championship;22.06.2012
68;Peter Wright;;Prakash Jiwa;;"6;5";L64;German Darts Championship;22.06.2012
69;Dave Ladley;;Denis Ovens;;"6;3";L64;German Darts Championship;22.06.2012
70;Vincent van der Voort;;Jim Walker;;"6;5";L64;German Darts Championship;22.06.2012
71;Colin Lloyd;;Alex Roy;;"6;5";L64;German Darts Championship;22.06.2012
72;Mickey Mansell;;Jamie Caven;;"6;4";L64;German Darts Championship;22.06.2012
73;Terry Jenkins;;Magnus Caris;;"6;3";L64;German Darts Championship;22.06.2012
74;Brendan Dolan;;Kevin Munch;;"6;4";L64;German Darts Championship;22.06.2012
75;Mark Webster;100.29;Darren Webster;91.73;"6;4";L64;German Darts Championship;22.06.2012
76;Paul Nicholson;104.34;Andree Welge;86.74;"6;3";L64;German Darts Championship;22.06.2012
77;John Part;97.31;Bernd Roith;82.64;"6;1";L64;German Darts Championship;22.06.2012
78;Simon Whitlock;91.9;Daniel Starkey;76.43;"6;0";L64;German Darts Championship;22.06.2012
79;Michael Rosenauer;92.75;Andy Hamilton;96.99;"6;4";L64;German Darts Championship;22.06.2012
80;Raymond van Barneveld;87.74;Mareno Michels;75.7;"6;1";L64;German Darts Championship;22.06.2012
81;Kim Huybrechts;98.46;Steve Beaton;89.82;"6;4";L64;German Darts Championship;22.06.2012
82;Phil Taylor;103.15;Jerry Hendriks;90.23;"6;4";L64;German Darts Championship;22.06.2012
83;Ronnie Baxter;95.48;Andy Jenkins;87.23;"6;5";L64;German Darts Championship;22.06.2012
84;James Hubbard;96.11;Adrian Lewis;97.49;"6;4";L64;German Darts Championship;22.06.2012
85;Mensur Suljovic;101.97;James Wade;91.09;"6;5";L64;German Darts Championship;22.06.2012
86;Wayne Jones;93.67;Zdravko Antunovic;96.9;"6;2";L64;German Darts Championship;22.06.2012
87;Mervyn King;97.66;Peter Hudson;94.71;"6;3";L64;German Darts Championship;22.06.2012
88;Dean Winstanley;97.28;Mark Walsh;97.16;"6;5";L64;German Darts Championship;22.06.2012
89;Wes Newton;93.05;William O'Connor;83.99;"6;4";L64;German Darts Championship;22.06.2012
90;Justin Pipe;102.82;Michael van Gerwen;98.28;"6;4";L64;German Darts Championship;22.06.2012
91;Dave Chisnall;100.89;Gareth Cousins;79.51;"6;3";L64;German Darts Championship;22.06.2012
92;Mervyn King;97.28;Wayne Jones;98.17;"6;3";L32;German Darts Championship;23.06.2012
93;Kevin Painter;93.86;Dave Ladley;82.63;"6;4";L32;German Darts Championship;23.06.2012
94;Mickey Mansell;94.6;Dean Winstanley;99.52;"6;5";L32;German Darts Championship;23.06.2012
95;Mark Webster;93.76;Colin Osborne;86.83;"6;4";L32;German Darts Championship;23.06.2012
96;Colin Lloyd;101.04;Paul Nicholson;94.74;"6;2";L32;German Darts Championship;23.06.2012
97;Wes Newton;97.99;Steve Brown;90.82;"6;2";L32;German Darts Championship;23.06.2012
98;Simon Whitlock;98.01;Brendan Dolan;99.68;"6;5";L32;German Darts Championship;23.06.2012
99;Ronnie Baxter;98.13;Vincent van der Voort;96.2;"6;5";L32;German Darts Championship;23.06.2012
100;Terry Jenkins;100.32;John Part;86.27;"6;2";L32;German Darts Championship;23.06.2012
101;Co Stompe;85.25;Michael Barnard;83.72;"6;5";L32;German Darts Championship;23.06.2012
102;Justin Pipe;91.98;Andy Smith;89.74;"6;4";L32;German Darts Championship;23.06.2012
103;James Hubbard;95.36;Peter Wright;93.5;"6;3";L32;German Darts Championship;23.06.2012
104;Dave Chisnall;108.35;Michael Rosenauer;81.13;"6;1";L32;German Darts Championship;23.06.2012
105;Phil Taylor;107.59;Reece Robinson;80.88;"6;2";L32;German Darts Championship;23.06.2012
106;Raymond van Barneveld;103.12;Alan Tabern;92.48;"6;3";L32;German Darts Championship;23.06.2012
107;Kim Huybrechts;96.64;Mensur Suljovic;95.83;"6;3";L32;German Darts Championship;23.06.2012
108;Phil Taylor;107.24;Colin Lloyd;101.27;"6;0";L16;German Darts Championship;23.06.2012
109;Raymond van Barneveld;96.85;Mark Webster;90.52;"6;3";L16;German Darts Championship;23.06.2012
110;Wes Newton;103.44;Mickey Mansell;95.27;"6;1";L16;German Darts Championship;23.06.2012
111;Justin Pipe;95.28;Co Stompe;83.49;"6;4";L16;German Darts Championship;23.06.2012
112;Mervyn King;94.37;James Hubbard;85.57;"6;4";L16;German Darts Championship;23.06.2012
113;Dave Chisnall;102.52;Terry Jenkins;101.51;"6;5";L16;German Darts Championship;23.06.2012
114;Simon Whitlock;106.83;Kevin Painter;97.05;"6;2";L16;German Darts Championship;23.06.2012
115;Kim Huybrechts;92.97;Ronnie Baxter;94.4;"6;4";L16;German Darts Championship;23.06.2012
116;Phil Taylor;100.3;Raymond van Barneveld;98.1;"6;5";QF;German Darts Championship;23.06.2012
117;Wes Newton;98.9;Justin Pipe;100.3;"6;3";QF;German Darts Championship;23.06.2012
118;Dave Chisnall;99.25;Mervyn King;93.31;"6;4";QF;German Darts Championship;23.06.2012
119;Simon Whitlock;91.5;Kim Huybrechts;91.13;"6;4";QF;German Darts Championship;23.06.2012
120;Phil Taylor;99.12;Wes Newton;98.42;"6;3";SF;German Darts Championship;23.06.2012
121;Dave Chisnall;94.26;Simon Whitlock;89.5;"6;4";SF;German Darts Championship;23.06.2012
122;Phil Taylor;106.82;Dave Chisnall;100.6;"6;2";Final;German Darts Championship;23.06.2012
123;Brian Woods;;Jamie Caven;;"6;5";L64;European Darts Open;06.07.2012
124;Richie Burnett;;Andy Jenkins;;"6;2";L64;European Darts Open;06.07.2012
125;Tomas Seyler;;John Part;;"6;3";L64;European Darts Open;06.07.2012
126;Raymond van Barneveld;;Ian White;;"6;2";L64;European Darts Open;06.07.2012
127;Jelle Klaasen;;Mark Hylton;;"6;1";L64;European Darts Open;06.07.2012
128;James Wade;;Magnus Caris;;"6;3";L64;European Darts Open;06.07.2012
129;Kim Huybrechts;;Paul Nicholson;;"6;2";L64;European Darts Open;06.07.2012
130;Mark Dudbridge;;Co Stompe;;"6;1";L64;European Darts Open;06.07.2012
131;Robert Thornton;;Maik Langendorf;;"6;1";L64;European Darts Open;06.07.2012
132;Ronny Huybrechts;;Peter Wright;;"6;5";L64;European Darts Open;06.07.2012
133;Simon Whitlock;;Ross Smith;;"6;5";L64;European Darts Open;06.07.2012
134;Colin Osborne;;Jim Walker;;"6;0";L64;European Darts Open;06.07.2012
135;Adrian Lewis;;Karsten Kornath;;"6;0";L64;European Darts Open;06.07.2012
136;Steve Brown;;Arron Monk;;"6;2";L64;European Darts Open;06.07.2012
137;James Hubbard;;Andy Hamilton;;"6;5";L64;European Darts Open;06.07.2012
138;Brendan Dolan;;Dean Winstanley;;"6;5";L64;European Darts Open;06.07.2012
139;Mickey Mansell;;Colin Lloyd;;"6;2";L64;European Darts Open;06.07.2012
140;Kevin Painter;;Ryan de Vreede;;"6;3";L64;European Darts Open;06.07.2012
141;Joe Cullen;;Terry Jenkins;;"6;1";L64;European Darts Open;06.07.2012
142;Mervyn King;;Stuart Kellett;;"6;3";L64;European Darts Open;06.07.2012
143;Ronnie Baxter;;Devon Petersen;;"6;2";L64;European Darts Open;06.07.2012
144;Michael van Gerwen;;Wayne Jones;;"6;3";L64;European Darts Open;06.07.2012
145;Tonci Restovic;;Denis Ovens;;"6;3";L64;European Darts Open;06.07.2012
146;Mark Walsh;;Mark Jones;;"6;5";L64;European Darts Open;06.07.2012
147;Gino Vos;;Justin Pipe;;"6;3";L64;European Darts Open;06.07.2012
148;Andy Smith;;Mick Todd;;"6;5";L64;European Darts Open;06.07.2012
149;Dave Chisnall;;Kevin Munch;;"6;1";L64;European Darts Open;06.07.2012
150;Vincent van der Voort;;Jamie Lewis;;"6;3";L64;European Darts Open;06.07.2012
151;Johnny Haines;;Alan Tabern;;"6;2";L64;European Darts Open;06.07.2012
152;Steve Beaton;;Tony Littleton;;"6;3";L64;European Darts Open;06.07.2012
153;Michael van Gerwen;86.76;Brian Woods;83.9;"6;4";L32;European Darts Open;07.07.2012
154;Richie Burnett;93.07;Scott Rand;91.09;"6;3";L32;European Darts Open;07.07.2012
155;Mark Walsh;87.36;Tonci Restovic;75.79;"6;1";L32;European Darts Open;07.07.2012
156;James Hubbard;89.84;Steve Brown;89.93;"6;5";L32;European Darts Open;07.07.2012
157;Gino Vos;83.88;Tomas Seyler;81.47;"6;4";L32;European Darts Open;07.07.2012
158;Raymond van Barneveld;89.46;Brendan Dolan;84.65;"6;2";L32;European Darts Open;07.07.2012
159;Andy Smith;93.83;Mickey Mansell;75.51;"6;1";L32;European Darts Open;07.07.2012
160;James Wade;93.86;Jelle Klaasen;90.23;"6;3";L32;European Darts Open;07.07.2012
161;Dave Chisnall;95.95;Kim Huybrechts;96.59;"6;5";L32;European Darts Open;07.07.2012
162;Mark Dudbridge;79.92;Wes Newton;82.06;"6;4";L32;European Darts Open;07.07.2012
163;Robert Thornton;92.01;Vincent van der Voort;94.33;"6;4";L32;European Darts Open;07.07.2012
164;Simon Whitlock;96.71;Ronny Huybrechts;85.19;"6;1";L32;European Darts Open;07.07.2012
165;Colin Osborne;96.93;Kevin Painter;87.41;"6;2";L32;European Darts Open;07.07.2012
166;Johnny Haines;85.38;Joe Cullen;87.47;"6;5";L32;European Darts Open;07.07.2012
167;Mervyn King;90.91;Ronnie Baxter;94.04;"6;5";L32;European Darts Open;07.07.2012
168;Steve Beaton;90.27;Adrian Lewis;87.28;"6;3";L32;European Darts Open;07.07.2012
169;Richie Burnett;95.63;Michael van Gerwen;96.18;"6;2";L16;European Darts Open;08.07.2012
170;James Hubbard;93.17;Mark Walsh;80.22;"6;3";L16;European Darts Open;08.07.2012
171;Raymond van Barneveld;103.68;Gino Vos;88.7;"6;2";L16;European Darts Open;08.07.2012
172;James Wade;93.19;Andy Smith;83.61;"6;2";L16;European Darts Open;08.07.2012
173;Dave Chisnall;100.82;Mark Dudbridge;84.46;"6;2";L16;European Darts Open;08.07.2012
174;Simon Whitlock;93.72;Robert Thornton;88.49;"6;3";L16;European Darts Open;08.07.2012
175;Colin Osborne;101.33;Johnny Haines;97.0;"6;0";L16;European Darts Open;08.07.2012
176;Mervyn King;84.86;Steve Beaton;80.7;"6;5";L16;European Darts Open;08.07.2012
177;Richie Burnett;101.2;James Hubbard;90.96;"6;2";QF;European Darts Open;08.07.2012
178;Raymond van Barneveld;100.07;James Wade;100.15;"6;2";QF;European Darts Open;08.07.2012
179;Dave Chisnall;100.63;Simon Whitlock;95.66;"6;5";QF;European Darts Open;08.07.2012
180;Mervyn King;105.44;Colin Osborne;96.03;"6;2";QF;European Darts Open;08.07.2012
181;Raymond van Barneveld;98.13;Richie Burnett;98.46;"6;4";SF;European Darts Open;08.07.2012
182;Dave Chisnall;99.69;Mervyn King;95.17;"6;3";SF;European Darts Open;08.07.2012
183;Raymond van Barneveld;93.97;Dave Chisnall;82.16;"6;4";Final;European Darts Open;08.07.2012
184;Stuart Kellett;;Colin Lloyd;;"6;4";L64;German Darts Masters;07.09.2012
185;Andy Hamilton;;Mensur Suljovic;;"6;2";L64;German Darts Masters;07.09.2012
186;Kim Huybrechts;;Dave Chisnall;;"6;4";L64;German Darts Masters;07.09.2012
187;Wes Newton;;Andrew Gilding;;"6;4";L64;German Darts Masters;07.09.2012
188;Arron Monk;;Ronnie Baxter;;"6;2";L64;German Darts Masters;07.09.2012
189;Robert Thornton;;Kevin Munch;;"6;1";L64;German Darts Masters;07.09.2012
190;Paul Nicholson;;Dean Winstanley;;"6;2";L64;German Darts Masters;07.09.2012
191;Mickey Mansell;;Mervyn King;;"6;5";L64;German Darts Masters;07.09.2012
192;Brendan Dolan;;Leon de Geus;;"6;2";L64;German Darts Masters;07.09.2012
193;Tony Littleton;;Michael van Gerwen;;"6;4";L64;German Darts Masters;07.09.2012
194;James Richardson;;Peter Wright;;"6;3";L64;German Darts Masters;07.09.2012
195;Peter Hudson;;Alan Tabern;;"6;4";L64;German Darts Masters;07.09.2012
196;Tony West;;Justin Pipe;;"6;5";L64;German Darts Masters;07.09.2012
197;Magnus Caris;;Denis Ovens;;"6;4";L64;German Darts Masters;07.09.2012
198;Wayne Jones;;Nick Fullwell;;"6;3";L64;German Darts Masters;07.09.2012
199;Nigel Heydon;;Andy Smith;;"6;5";L64;German Darts Masters;07.09.2012
200;Colin Osborne;;Reece Robinson;;"6;2";L64;German Darts Masters;07.09.2012
201;Ian White;;Jamie Caven;;"6;3";L64;German Darts Masters;07.09.2012
202;Richie Burnett;;Jamie Lewis;;"6;3";L64;German Darts Masters;07.09.2012
203;William O'Connor;;Kevin Painter;;"6;5";L64;German Darts Masters;07.09.2012
204;Mark Walsh;;Darren Webster;;"6;1";L64;German Darts Masters;07.09.2012
205;Vincent van der Voort;;Maik Langendorf;;"6;4";L64;German Darts Masters;07.09.2012
206;Andree Welge;;Mark Webster;;"6;4";L64;German Darts Masters;07.09.2012
207;Raymond van Barneveld;;Mark Dudbridge;;"6;3";L64;German Darts Masters;07.09.2012
208;Adrian Lewis;;Darren Johnson;;"6;1";L64;German Darts Masters;07.09.2012
209;Terry Jenkins;;Tomas Seyler;;"6;3";L64;German Darts Masters;07.09.2012
210;Terry Temple;;John Part;;"6;2";L64;German Darts Masters;07.09.2012
211;James Wade;;Kurt van de Rijck;;"6;4";L64;German Darts Masters;07.09.2012
212;Simon Whitlock;;Tonci Restovic;;"6;0";L64;German Darts Masters;07.09.2012
213;Nigel Heydon;100.45;Mark Walsh;86.33;"6;2";L32;German Darts Masters;08.09.2012
214;James Wade;103.12;Steve Beaton;99.33;"6;4";L32;German Darts Masters;08.09.2012
215;Wayne Jones;96.2;William O'Connor;82.84;"6;3";L32;German Darts Masters;08.09.2012
216;Simon Whitlock;93.2;Magnus Caris;87.38;"6;3";L32;German Darts Masters;08.09.2012
217;Tony West;93.25;Terry Temple;88.26;"6;4";L32;German Darts Masters;08.09.2012
218;Terry Jenkins;92.17;Richie Burnett;90.12;"6;4";L32;German Darts Masters;08.09.2012
219;Mickey Mansell;84.88;Paul Nicholson;89.67;"6;2";L32;German Darts Masters;08.09.2012
220;Adrian Lewis;103.65;Peter Hudson;77.53;"6;1";L32;German Darts Masters;08.09.2012
221;Robert Thornton;93.14;Arron Monk;86.31;"6;2";L32;German Darts Masters;08.09.2012
222;Wes Newton;92.81;James Richardson;82.3;"6;4";L32;German Darts Masters;08.09.2012
223;Ian White;85.82;Kim Huybrechts;94.22;"6;5";L32;German Darts Masters;08.09.2012
224;Andy Hamilton;80.48;Tony Littleton;74.87;"6;3";L32;German Darts Masters;08.09.2012
225;Raymond van Barneveld;91.82;Colin Osborne;84.85;"6;1";L32;German Darts Masters;08.09.2012
226;Andree Welge;85.73;Brendan Dolan;85.92;"6;4";L32;German Darts Masters;08.09.2012
227;Vincent van der Voort;92.68;Stuart Kellett;90.76;"6;5";L32;German Darts Masters;08.09.2012
228;Jerry Hendriks;88.65;Andy Jenkins;81.88;"6;1";L32;German Darts Masters;08.09.2012
229;James Wade;94.83;Nigel Heydon;83.36;"6;4";L16;German Darts Masters;09.09.2012
230;Simon Whitlock;98.46;Wayne Jones;95.58;"6;5";L16;German Darts Masters;09.09.2012
231;Tony West;84.84;Terry Jenkins;86.37;"6;4";L16;German Darts Masters;09.09.2012
232;Adrian Lewis;99.74;Mickey Mansell;87.48;"6;1";L16;German Darts Masters;09.09.2012
233;Robert Thornton;107.36;Wes Newton;98.08;"6;0";L16;German Darts Masters;09.09.2012
234;Ian White;91.52;Andy Hamilton;88.66;"6;5";L16;German Darts Masters;09.09.2012
235;Raymond van Barneveld;93.42;Andree Welge;81.91;"6;2";L16;German Darts Masters;09.09.2012
236;Vincent van der Voort;84.57;Jerry Hendriks;85.14;"6;4";L16;German Darts Masters;09.09.2012
237;James Wade;105.59;Simon Whitlock;105.98;"6;3";QF;German Darts Masters;09.09.2012
238;Adrian Lewis;94.44;Tony West;86.59;"6;3";QF;German Darts Masters;09.09.2012
239;Ian White;93.74;Robert Thornton;92.02;"6;5";QF;German Darts Masters;09.09.2012
240;Raymond van Barneveld;90.02;Vincent van der Voort;88.29;"6;4";QF;German Darts Masters;09.09.2012
241;Adrian Lewis;95.22;James Wade;88.77;"6;1";SF;German Darts Masters;09.09.2012
242;Ian White;99.56;Raymond van Barneveld;96.63;"6;4";SF;German Darts Masters;09.09.2012
243;Adrian Lewis;97.71;Ian White;95.26;"6;3";Final;German Darts Masters;09.09.2012
244;Brendan Dolan;;Tony West;;"6;5";L64;Dutch Darts Masters;28.10.2012
245;Mark Walsh;;Jim Walker;;"6;1";L64;Dutch Darts Masters;28.10.2012
246;Steve Brown;;Dick van Dijk;;"6;5";L64;Dutch Darts Masters;28.10.2012
247;Kim Huybrechts;;Tomas Seyler;;"6;2";L64;Dutch Darts Masters;28.10.2012
248;Raymond van Barneveld;;Mick Todd;;"6;3";L64;Dutch Darts Masters;28.10.2012
249;Phil Taylor;;Steve Hine;;"6;0";L64;Dutch Darts Masters;28.10.2012
250;Colin Osborne;;Toon Greebe;;"6;5";L64;Dutch Darts Masters;28.10.2012
251;Johnny Haines;;Peter Wright;;"6;5";L64;Dutch Darts Masters;28.10.2012
252;Vincent van der Voort;;Bernd Roith;;"6;0";L64;Dutch Darts Masters;28.10.2012
253;Michael van Gerwen;;Peter Hudson;;"6;4";L64;Dutch Darts Masters;28.10.2012
254;Mark Jones;;Mark Webster;;"6;0";L64;Dutch Darts Masters;28.10.2012
255;Simon Whitlock;;Per Laursen;;"6;4";L64;Dutch Darts Masters;28.10.2012
256;Arron Monk;;John Part;;"6;4";L64;Dutch Darts Masters;28.10.2012
257;Davyd Venken;;Mark Hylton;;"6;4";L64;Dutch Darts Masters;28.10.2012
258;Andy Hamilton;;Dennis Smith;;"6;5";L64;Dutch Darts Masters;28.10.2012
259;Steve Beaton;;Dean Winstanley;;"6;5";L64;Dutch Darts Masters;28.10.2012
260;Andy Smith;;Dennis Priestley;;"6;3";L64;Dutch Darts Masters;28.10.2012
261;Jamie Caven;;Kevin Munch;;"6;1";L64;Dutch Darts Masters;28.10.2012
262;Paul Nicholson;;Ross Smith;;"6;3";L64;Dutch Darts Masters;28.10.2012
263;Max Hopp;;Terry Jenkins;;"6;5";L64;Dutch Darts Masters;28.10.2012
264;James Hubbard;;Denis Ovens;;"6;2";L64;Dutch Darts Masters;28.10.2012
265;Wes Newton;;Jyhan Artut;;"6;4";L64;Dutch Darts Masters;28.10.2012
266;Ronnie Baxter;;Roland Scholten;;"6;4";L64;Dutch Darts Masters;28.10.2012
267;Gino Vos;;Dave Chisnall;;"6;1";L64;Dutch Darts Masters;28.10.2012
268;Mervyn King;;Ronny Huybrechts;;"6;1";L64;Dutch Darts Masters;28.10.2012
269;Alan Tabern;;Michael Smith;;"6;4";L64;Dutch Darts Masters;28.10.2012
270;Wayne Jones;;Dave Ladley;;"6;2";L64;Dutch Darts Masters;28.10.2012
271;Kevin Painter;;Brian Woods;;"6;3";L64;Dutch Darts Masters;28.10.2012
272;Andy Jenkins;;Justin Pipe;;"6;2";L64;Dutch Darts Masters;28.10.2012
273;Scott Rand;;Colin Lloyd;;"6;3";L64;Dutch Darts Masters;28.10.2012
274;Co Stompe;;Terry Temple;;"6;2";L64;Dutch Darts Masters;28.10.2012
275;Colin Osborne;97.53;Ronnie Baxter;88.36;"6;4";L32;Dutch Darts Masters;29.10.2012
276;Steve Brown;;Wes Newton;;"6;2";L32;Dutch Darts Masters;29.10.2012
277;Kim Huybrechts;;Mark Jones;;"6;2";L32;Dutch Darts Masters;29.10.2012
278;Johnny Haines;;Raymond van Barneveld;;"6;5";L32;Dutch Darts Masters;29.10.2012
279;Arron Monk;;Vincent van der Voort;;"6;5";L32;Dutch Darts Masters;29.10.2012
280;Paul Nicholson;;Michael van Gerwen;;"6;4";L32;Dutch Darts Masters;29.10.2012
281;Max Hopp;;Steve Beaton;;"6;4";L32;Dutch Darts Masters;29.10.2012
282;Phil Taylor;;Co Stompe;;"6;3";L32;Dutch Darts Masters;29.10.2012
283;Ian White;;Mervyn King;;"6;4";L32;Dutch Darts Masters;29.10.2012
284;Simon Whitlock;;Alan Tabern;;"6;2";L32;Dutch Darts Masters;29.10.2012
285;Andy Hamilton;96.25;Davyd Venken;91.16;"6;4";L32;Dutch Darts Masters;29.10.2012
286;Wayne Jones;90.64;Kevin Painter;88.93;"6;5";L32;Dutch Darts Masters;29.10.2012
287;Mark Walsh;;Brendan Dolan;;"6;3";L32;Dutch Darts Masters;29.10.2012
288;Jamie Caven;84.18;Gino Vos;77.54;"6;1";L32;Dutch Darts Masters;29.10.2012
289;Andy Jenkins;88.13;James Hubbard;89.3;"6;4";L32;Dutch Darts Masters;29.10.2012
290;Andy Smith;93.94;Scott Rand;91.52;"6;0";L32;Dutch Darts Masters;29.10.2012
291;Mark Walsh;101.86;Steve Brown;96.36;"6;3";L16;Dutch Darts Masters;30.10.2012
292;Kim Huybrechts;92.37;Colin Osborne;88.7;"6;4";L16;Dutch Darts Masters;30.10.2012
293;Johnny Haines;88.4;Jamie Caven;93.91;"6;5";L16;Dutch Darts Masters;30.10.2012
294;Simon Whitlock;102.5;Ian White;91.93;"6;1";L16;Dutch Darts Masters;30.10.2012
295;Arron Monk;88.99;Andy Hamilton;89.59;"6;4";L16;Dutch Darts Masters;30.10.2012
